Hoofdcategorie;Subcategorie;omschr_opleidingshoofdcategorie_nl;omschr_opleidingssubcategorie_nl;benaming
9;91;welzijn en gezondheid;gezondheid;Permanente vorming respiratoire kinesitherapie
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);IQ-VIS
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniques du froid M4 : module brasage
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Javascript - Dojo ToolKit
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Techniek en onderhoud Technique et maintenance Printers
7;73;techniek, fabricage en constructie;architectuur en constructie;Tegelplaatser
8;81;land- en bosbouw, visserij en dierengeneeskunde;landbouw;Lecture des schémas hydrauliques
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Experiënteel-integratief psychotherapeut voor kinderen, jongeren en hun gezin - 4 jaar
9;91;welzijn en gezondheid;gezondheid;Referentiepersoon Wondzorg, extra editie
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Coupe des outils: tournage/fraisage
10;102;diensten;hygiëne en bedrijfsgeneeskundige diensten;Normes nucléaires françaises
9;92;welzijn en gezondheid;welzijn;Bijzondere beroepsbekwaamheid geriatrische verpleegkunde 13-14
7;71;techniek, fabricage en constructie;techniek en technische beroepen;WinCC : Exploitation - Maintenance
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Oncologische diëtetiek
9;91;welzijn en gezondheid;gezondheid;opleiding voor de regularisatie van apotheekassistent
9;91;welzijn en gezondheid;gezondheid;Basisopleiding Palliatieve Zorg Voor Verpleegkundigen en Verzorgenden werkzaam in woonzorgcentra
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Electro-mechanica
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);Opleiding Atlas: X dock implementatie, process en systemen.
7;71;techniek, fabricage en constructie;techniek en technische beroepen;Principes pneumatique et hydraulique
4;42;handel, administratie en recht;recht;Rechtspraktijk
9;91;welzijn en gezondheid;gezondheid;Microkinésithérapie
1;11;onderwijs;onderwijs;Formation continuée
4;41;handel, administratie en recht;handel en administratie;Prévention et Bien-être - Expression et communication - Revenus et fiscalité
3;31;sociale wetenschappen, journalistiek en informatie;sociale en gedragswetenschappen;Postgraduaat psychotherapie jeugd en context - 3e cyclus - jaar 2
2;23;kunst en menswetenschappen;talen;Zweeds richtgraad 1
9;91;welzijn en gezondheid;gezondheid;Bachelor in de intensieve zorgen en de spoedgevallenzorg (BANABA)
7;73;techniek, fabricage en constructie;architectuur en constructie;Dakdekken schuine daken
2;21;kunst en menswetenschappen;kunst;Cinema 4D - Initiation
9;91;welzijn en gezondheid;gezondheid;Postgraduaat Palliatieve zorgen
9;91;welzijn en gezondheid;gezondheid;Zorgverlener met therapiepaarden
7;71;techniek, fabricage en constructie;techniek en technische beroepen;ECC1: kettingzaag onderhoud en korttechnieken 1 volledige dag
6;61;informatie- en communicatietechnologie (ICT);informatie- en communicatietechnologie (ICT);BUREAUTIQUE - Access
7;72;techniek, fabricage en constructie;fabricage en verwerking;Voedingsspecifiek Specifique alimentaire Formation théorique sur les principes de pasteurisation
1;11;onderwijs;onderwijs;Eénjarige opleiding onderwijzer(es) -  Omgevormd tot bachelor B-route
2;21;kunst en menswetenschappen;kunst;Animateurs Candidats (ANI)
9;91;welzijn en gezondheid;gezondheid;Senisplan - consultencursus
9;92;welzijn en gezondheid;welzijn;Formation à la Therapie Familiale et à l'intervention Systémitique - troisième année
8;84;land- en bosbouw, visserij en dierengeneeskunde;dierengeneeskunde;Kunstmatige inseminatie van rundvee
7;72;techniek, fabricage en constructie;fabricage en verwerking;Distributielogistiek
